Latitude,Longitude,cidade,estado
-21.472608352489928,-45.99262181754629,alfenas,MG
-21.524510409952214,-42.64045780952894,leopoldina,MG
-22.665013061640757,-46.6571250133281,sao joao da boa vista,SP
-5.919715630005202,-35.208976760552915,parnamirim,RN
-17.437939311152995,-39.58262205988579,teixeira de freitas,BA
-7.138593529978769,-34.85769133807402,joao pessoa,PB
-21.69287532208,-43.2196583693332,chacara,MG
-20.84388899999997,-40.925151141639205,rio novo do sul,ES
-28.84591158600553,-51.90328472447949,guapore,RS
-9.926547342978083,-68.08752221658553,rio branco,AC
-23.537991791814918,-46.496712529660925,ferraz de vasconcelos,SP
-27.502113274757583,-49.66608549825087,petrolandia,SC
-23.91611790267515,-52.53810587499998,araruna,PR
-8.20531241362291,-35.5962787757284,gravata,PE
-20.682175194203865,-41.524954095742615,alegre,ES
-23.426243111491196,-51.15180322938382,londrina,PR
-10.448207394520896,-40.163656743981846,senhor do bonfim,BA
-23.45015510031684,-46.81560115219231,santana de parnaiba,SP
-22.41486217750135,-49.15555679422353,piratininga,SP
-18.762732802612877,-47.49833046996594,monte carmelo,MG
-25.008253238291918,-50.58788823097208,ipiranga,PR
-23.27487041596312,-45.985753589617616,jacarei,SP
-7.0778495134650425,-41.444102874724024,picos,PI
-15.291385499999937,-39.085266499999975,una,BA
-23.45338716178182,-49.40562550813296,taguai,SP
-23.928581993472566,-52.34213861130104,peabiru,PR
-19.901883110581565,-47.61471511259012,conquista,MG
-21.72361777476442,-43.08250710527679,bicas,MG
-3.802733557470387,-40.262367353102746,forquilha,CE
-21.624603825055217,-49.78818807258138,guaicara,SP
-18.88679302113201,-50.23181258589329,santa vitoria,MG
-21.648640732974357,-51.073352958277695,adamantina,SP
-22.442759586206414,-47.586833291637674,rio claro,SP
-21.360973581203858,-41.93950385583947,sao jose de uba,RJ
-13.017119954612593,-55.49140121785665,sorriso,MT
-10.997671878426289,-37.09205918528714,aracaju,SE
-19.965840325126585,-42.64194988973786,conselheiro lafaiete,MG
-12.374638980478018,-46.51152782270498,taguatinga,TO
-3.7106700156889874,-40.98987034364753,tiangua,CE
-19.512766966117994,-51.426604352052195,paranaiba,MS
-28.402208494704436,-51.815348279210056,david canabarro,RS
-24.035718431151402,-49.3914234066184,itarare,SP
-9.398309310816456,-36.146408085763916,cajueiro,AL
-22.574135416319812,-44.96074584512954,cruzeiro,SP
-29.80477997311811,-51.73424034166945,santa cruz do sul,RS
-21.73517699999997,-52.071947499999986,presidente epitacio,SP
-1.3082671894309217,-47.94005153686178,castanhal,PA
-20.261918686632637,-40.36935947958279,cariacica,ES
-23.14500449999997,-46.46425467005413,bom jesus dos perdoes,SP
-2.946735204211518,-57.958152320457415,urucurituba,AM
-7.994643596199551,-34.873305664070394,olinda,PE
-21.19853332784842,-48.12047166885564,sao jose do rio pardo,SP
-22.5912240331159,-42.99516508099656,guapimirim,RJ
-23.624950629016624,-47.02162207579757,vargem grande paulista,SP
-27.08004663741073,-52.632558668395845,chapeco,SC
-27.013770906531303,-51.128637081773775,videira,SC
-9.115558250468183,-37.6070593380947,canapi,AL
-25.636115010885376,-48.420686362567,pontal do parana,PR
-29.159758398512025,-51.51676149999999,bento goncalves,RS
-16.127431205986028,-57.67165466174698,caceres,MT
-26.19291969057059,-51.4775234402404,bituruna,PR
-22.739179214357854,-45.465303998262414,sao bento do sapucai,SP
-22.629396854533507,-43.11484937453149,mage,RJ
-28.771532802616186,-49.50304752924377,forquilhinha,SC
-12.502986178316942,-40.407912538491296,itaberaba,BA
